lsoa,60plus_perc,females_perc,employment_score,crime_score,outdoor_environment_score,lvl_4plus_perc
E01002760,13.474240422721266,53.726506804925464,0.238,0.982,1.503,28.96725440806045
E01002762,12.412412412412412,50.38481272447411,0.101,1.0,2.028,57.085253456221196
E01002763,12.73841961852861,48.57341684064022,0.149,1.751,2.487,37.5
E01002764,14.229910714285715,50.590219224283295,0.153,1.534,2.12,42.61168384879725
E01002765,8.936484490398819,52.4074810982889,0.16899999999999998,0.725,1.784,35.87223587223588
E01002766,14.34108527131783,52.341137123745824,0.187,1.166,1.726,28.0570652173913
E01002767,13.211186113789775,52.984344422700595,0.181,1.211,2.406,37.03703703703704
E01002768,17.451349654739484,52.930174563591024,0.165,0.385,1.932,45.54093567251462
E01002769,11.804922515952597,53.62883584997565,0.073,0.965,1.624,51.32843414358396
E01002770,15.904821540388227,51.005840363400395,0.133,0.877,1.36,52.85285285285285
E01002771,12.449528936742935,53.877275792312886,0.135,0.816,1.759,48.50993377483445
E01002772,12.459893048128345,50.5952380952381,0.13,1.048,1.945,49.711353431686966
E01002773,20.168067226890763,51.659451659451655,0.285,1.732,1.973,27.898866608544026
E01002774,11.286576869484438,51.94312796208531,0.159,1.435,2.1790000000000003,47.62702400893353
E01002775,8.896551724137929,51.78446466060181,0.105,1.023,1.939,62.16429699842022
E01002776,10.997732426303857,52.378085490668276,0.145,1.14,2.178,49.58985831469053
E01002777,12.537492501499699,52.27552275522756,0.121,1.205,1.853,54.17529330572809
E01002778,11.478163493840984,52.60212646894236,0.21600000000000005,1.735,2.388,32.05814843152257
E01002779,8.575883575883577,52.77630883130618,0.08800000000000001,1.126,1.813,61.73913043478261
E01002780,10.748218527315917,52.987804878048784,0.153,1.016,1.734,51.97657393850661
E01002781,11.816192560175054,51.851851851851855,0.179,0.38,1.644,40.97914777878513
E01002782,11.031331592689297,51.85909980430529,0.229,1.196,1.904,30.52820053715309
E01002783,14.986737400530505,49.49562878278413,0.236,1.144,1.973,36.292223095051064
E01002784,14.008859357696569,50.473537604456816,0.196,0.848,1.588,36.68965517241379
E01002785,14.986945169712794,50.30487804878049,0.115,0.959,1.847,54.72415979708308
E01002786,11.576626240352809,49.6398891966759,0.172,1.298,2.229,42.57357973990417
E01002787,10.51051051051051,60.06172839506172,0.17600000000000002,1.037,1.921,33.45045678144765
E01002788,10.75612353567625,49.48676391139925,0.114,0.78,1.6780000000000002,60.90458488228006
E01002789,15.987124463519313,51.173959445037354,0.075,0.8540000000000001,1.93,67.9245283018868
E01002790,17.55464480874317,52.75261324041812,0.226,1.51,2.242,36.47642679900744
E01002791,15.917602996254681,49.578742709008424,0.067,1.17,2.324,57.76627218934911
E01002792,11.064499213424227,52.006420545746394,0.071,0.922,1.954,62.734082397003746
E01002793,11.698880976602236,50.91863517060368,0.185,1.789,2.482,49.78593272171254
E01002794,12.728249194414609,49.745042492917854,0.092,1.188,2.551,62.84610431423053
E01002795,9.623015873015873,49.72458688032047,0.141,1.219,2.441,52.715466351829996
E01002796,14.545454545454545,52.26179018286814,0.127,0.787,1.926,55.86652314316469
E01002797,11.966262519768055,50.93432995194874,0.161,1.444,2.232,44.72049689440993
E01002798,13.188976377952757,48.44783715012723,0.12,0.721,2.037,59.61761297798378
E01002799,15.226554267650158,53.23545405111474,0.168,0.785,2.153,38.75338753387534
E01002800,14.636642784032752,51.572926596758826,0.257,1.388,1.943,25.25252525252525
E01002801,15.041427660930527,48.61558274307791,0.071,1.143,2.59,64.89825581395347
E01002802,13.961255845023382,50.67567567567568,0.091,0.779,2.066,65.2276295133438
E01002803,10.73674752920036,48.424624333494904,0.106,0.962,2.612,60.297356828193855
E01002804,11.888111888111887,51.288196524865185,0.219,0.627,1.484,39.46188340807175
E01002805,10.848755583918317,49.52198852772466,0.125,1.091,1.4880000000000002,55.31453362255965
E01002806,12.431444241316273,52.476489028213166,0.147,1.095,1.606,53.02013422818792
E01002807,11.080178173719377,54.959630911188015,0.201,0.8220000000000001,1.683,36.86797752808989
E01002808,13.201663201663203,51.966439433665435,0.152,1.003,1.681,48.05194805194805
E01002809,8.91758917589176,50.73170731707317,0.181,0.762,1.911,44.113263785394935
E01002810,12.91328758577667,50.60532687651331,0.199,1.035,1.922,41.58415841584159
E01002811,14.744801512287333,52.88025889967638,0.202,0.963,1.713,41.95979899497488
E01002812,15.008068854222698,47.73082942097028,0.034,-0.474,1.818,56.60725261216963
E01002813,19.19431279620853,47.70797962648557,0.032,0.015,2.237,66.68941979522184
E01002814,15.047021943573668,51.073619631901856,0.133,0.17,2.439,48.89162561576354
E01002815,15.007429420505199,50.07022471910111,0.073,0.006,2.33,57.89473684210528
E01002816,21.816770186335408,50.33210332103321,0.036000000000000004,-0.183,2.16,63.68243243243244
E01002817,23.540856031128406,52.195734002509404,0.034,0.166,2.31,64.10835214446954
E01002818,18.31831831831832,46.50349650349651,0.011,0.183,2.286,56.502242152466366
E01002819,18.181818181818183,47.8562421185372,0.012,-0.35100000000000003,1.937,59.6820809248555
E01002820,13.636363636363635,51.15907274180656,0.021,-0.28,1.893,65.29850746268657
E01002821,17.729502452697968,51.2280701754386,0.017,0.479,2.474,60.229132569558104
E01002822,20.03257328990228,52.1558872305141,0.012,0.642,2.355,64.8539778449144
E01002823,22.54416961130742,52.73922571219869,0.153,0.213,2.256,39.05429071803853
E01002824,16.910229645093946,51.81040157998683,0.023,0.318,1.923,62.909672262190256
E01002825,21.909233176838807,55.02318392581143,0.035,0.041,1.908,56.66875391358798
E01002826,19.66035271064664,50.096711798839465,0.032,0.389,2.26,62.33480176211454
E01002827,17.020057306590257,50.51771117166213,0.029,0.6940000000000001,2.283,68.17593790426908
E01002828,22.01027146001468,48.57357357357358,0.075,0.4,2.265,62.24934612031387
E01002829,16.08040201005025,48.976807639836295,0.172,0.933,2.084,46.42857142857143
E01002830,18.498817966903072,48.90016920473773,0.189,1.307,2.268,43.611473272490215
E01002831,15.384615384615385,52.604957005563996,0.188,1.3219999999999998,2.325,44.87485101311085
